Image_Name,HEX,R,G,B
1000,#676050,103,96,80
1038,#dbd1c8,219,209,200
1051,#676155,103,97,85
1058,#657196,101,113,150
1101,#d6c1ad,214,193,173
1113,#e5ddc4,229,221,196
1170,#d4c1ad,212,193,173
1172,#dad5c2,218,213,194
12079,#41341d,65,52,29
12080,#161615,22,22,21
12081,#ece5dd,236,229,221
12082,#8d5e39,141,94,57
12157,#7f5e40,127,94,64
12159,#76491b,118,73,27
12169,#a88e78,168,142,120
12176,#d4b784,212,183,132
12228,#2a2c2a,42,44,42
12251,#eae2d8,234,226,216
12255,#8c6b52,140,107,82
12275,#3a8b91,58,139,145
12300,#ccccba,204,204,186
12321,#dcdad3,220,218,211
12335,#a88c51,168,140,81
12359,#d5d0ca,213,208,202
12376,#ded4bf,222,212,191
12400,#bbbeaa,187,190,170
12405,#7a7156,122,113,86
12437,#988b7b,152,139,123
12455,#dfd6d2,223,214,210
12479,#7c4f24,124,79,36
12484,#ddd0ca,221,208,202
12497,#2a1a10,42,26,16
12516,#9f9282,159,146,130
12555,#d5cfc1,213,207,193
1256,#efebdc,239,235,220
12570,#6d5330,109,83,48
12588,#60594d,96,89,77
12595,#c1b9aa,193,185,170
12631,#bec1c3,190,193,195
12657,#a9545c,169,84,92
12665,#cec4b6,206,196,182
12691,#383936,56,57,54
1271,#d4c3b3,212,195,179
12711,#754629,117,70,41
12737,#d1c9c0,209,201,192
12745,#6b3f1e,107,63,30
12747,#b2b290,178,178,144
12754,#70513d,112,81,61
12815,#2d8154,45,129,84
12825,#bfaf8d,191,175,141
12833,#c89a80,200,154,128
12834,#dfdfe0,223,223,224
12890,#e8e1dc,232,225,220
12912,#4c423a,76,66,58
12927,#776754,119,103,84
12928,#e7ddc4,231,221,196
12970,#ebe5e1,235,229,225
12990,#3f352c,63,53,44
13006,#c3bdc0,195,189,192
13011,#e4dbd4,228,219,212
13049,#34190e,52,25,14
13069,#a88576,168,133,118
13087,#c5af86,197,175,134
13104,#e3ddc8,227,221,200
13130,#d7d1c9,215,209,201
13148,#a0744e,160,116,78
13166,#7a6942,122,105,66
13187,#4a351e,74,53,30
13210,#ceccb9,206,204,185
13227,#ba844d,186,132,77
13240,#795f54,121,95,84
13266,#745038,116,80,56
13286,#336565,51,101,101
13308,#d1a06b,209,160,107
13321,#885a4e,136,90,78
1334,#e6dfc4,230,223,196
13342,#1a1a18,26,26,24
13365,#131312,19,19,18
13387,#cbcecc,203,206,204
13401,#7a5347,122,83,71
13422,#e4ddd1,228,221,209
13445,#af9362,175,147,98
13448,#d9d6ad,217,214,173
13480,#81574c,129,87,76
13497,#edebe7,237,235,231
13524,#c2cfc8,194,207,200
13529,#3a3594,58,53,148
13550,#c2ac92,194,172,146
13575,#e2dbce,226,219,206
1359,#d7c3ae,215,195,174
13596,#bec3b3,190,195,179
13617,#1c1c19,28,28,25
13624,#4b4737,75,71,55
13638,#d2cabf,210,202,191
13671,#b6c9df,182,201,223
13695,#2f2e1c,47,46,28
13697,#a06636,160,102,54
13732,#555345,85,83,69
13787,#d5c7bb,213,199,187
13795,#a8a081,168,160,129
13809,#bcbbb5,188,187,181
13864,#f0eae3,240,234,227
13876,#baaf98,186,175,152
13898,#b0975c,176,151,92
13952,#35313d,53,49,61
13957,#e9e4dc,233,228,220
1398,#daceaf,218,206,175
13983,#706e5a,112,110,90
14022,#e6e1de,230,225,222
14048,#7a4a23,122,74,35
14063,#c6a77e,198,167,126
1411,#cdb7a8,205,183,168
14110,#292a24,41,42,36
14137,#d2a584,210,165,132
14147,#eae9e8,234,233,232
14194,#30412e,48,65,46
14223,#4a3f32,74,63,50
14242,#bab092,186,176,146
14277,#c7cac1,199,202,193
14295,#85bcbe,133,188,190
14331,#3c352c,60,53,44
14350,#57613a,87,97,58
14382,#ada19a,173,161,154
14419,#e1ddd7,225,221,215
14433,#6a4f30,106,79,48
14459,#c7bdb4,199,189,180
14496,#14120f,20,18,15
14513,#bfc5c8,191,197,200
14538,#978e74,151,142,116
14583,#b9b4a9,185,180,169
14601,#c1ceca,193,206,202
14617,#3f3623,63,54,35
14664,#a8a590,168,165,144
14683,#e0dbd0,224,219,208
14708,#2d3b40,45,59,64
14749,#b08048,176,128,72
14753,#aea28a,174,162,138
14765,#ddb785,221,183,133
14840,#80705c,128,112,92
14852,#c1ab86,193,171,134
14860,#7e7054,126,112,84
14923,#544d3a,84,77,58
14941,#c6c6bb,198,198,187
14948,#9f9b8d,159,155,141
14995,#bbb8b0,187,184,176
150,#e9e2d0,233,226,208
15029,#ccbc90,204,188,144
15031,#e6e3dc,230,227,220
15076,#c2cbc5,194,203,197
1508,#d5c2af,213,194,175
151,#e5e5e5,229,229,229
15105,#b9bcaf,185,188,175
15118,#c3cac2,195,202,194
15162,#2a5771,42,87,113
15177,#48392b,72,57,43
152,#54768d,84,118,141
15211,#ece9e5,236,233,229
15249,#8a8573,138,133,115
15265,#45362b,69,54,43
15294,#cbcec7,203,206,199
153,#6c6d4b,108,109,75
15327,#f6e5b5,246,229,181
15341,#7a683a,122,104,58
1536,#322f3d,50,47,61
15377,#efece5,239,236,229
15407,#867159,134,113,89
15427,#bcbea8,188,190,168
15469,#5a4d27,90,77,39
15484,#5f5b3b,95,91,59
15495,#c2977a,194,151,122
15543,#a6ab8c,166,171,140
15579,#c6cccf,198,204,207
15580,#765e44,118,94,68
15630,#dfdbc9,223,219,201
15657,#4a5452,74,84,82
15667,#b09061,176,144,97
157,#171a19,23,26,25
15707,#c9ad7c,201,173,124
15745,#c0b8b2,192,184,178
15749,#9c9374,156,147,116
1577,#9791ad,151,145,173
15792,#dfddda,223,221,218
15821,#cbc7bd,203,199,189
15822,#b6a894,182,168,148
15868,#dfdad0,223,218,208
15907,#483c33,72,60,51
15914,#c8ac7b,200,172,123
15957,#1b1715,27,23,21
15997,#c9beae,201,190,174
16002,#626045,98,96,69
16042,#dfddd3,223,221,211
16080,#3b463f,59,70,63
16085,#ad9952,173,153,82
16121,#e3ddd6,227,221,214
1616,#d5c3af,213,195,175
16160,#d1aa81,209,170,129
16161,#7b7045,123,112,69
16211,#e9e0d6,233,224,214
16252,#85714b,133,113,75
16253,#b6a284,182,162,132
16287,#e0dcd3,224,220,211
163,#3c4959,60,73,89
16327,#c5b899,197,184,153
16341,#ceaf90,206,175,144
16375,#f2f0ed,242,240,237
16408,#e9ba20,233,186,32
16425,#544e3d,84,78,61
16453,#e2e0d7,226,224,215
16493,#901e26,144,30,38
16497,#1d6d75,29,109,117
165,#140705,20,7,5
16542,#dad5cd,218,213,205
16576,#151b2a,21,27,42
16593,#afb6a8,175,182,168
16624,#ecebe8,236,235,232
16656,#212121,33,33,33
16667,#7e3942,126,57,66
167,#a99168,169,145,104
16710,#e7e3de,231,227,222
16728,#ccc6bb,204,198,187
16759,#cdcbba,205,203,186
16797,#e7e3df,231,227,223
16823,#ccccbf,204,204,191
16843,#d5cfc4,213,207,196
16877,#bdb299,189,178,153
16914,#d3cfc2,211,207,194
16932,#d0d0cd,208,208,205
16964,#1e1d1a,30,29,26
16994,#432a1a,67,42,26
1700,#d8c5ad,216,197,173
17006,#dddacc,221,218,204
17047,#ddd7d3,221,215,211
17082,#362c16,54,44,22
17102,#e8e3dc,232,227,220
17138,#e4deda,228,222,218
17167,#855424,133,84,36
17195,#bbcdbf,187,205,191
17213,#e4deda,228,222,218
17250,#ded6cd,222,214,205
17273,#2e2e2e,46,46,46
17302,#e2ddd8,226,221,216
17340,#26241e,38,36,30
17359,#473b24,71,59,36
17379,#e3ddd9,227,221,217
17420,#eae4da,234,228,218
17449,#d9d2cb,217,210,203
17462,#e4deda,228,222,218
17502,#302416,48,36,22
17534,#dad0c8,218,208,200
17552,#956f4f,149,111,79
17592,#eee8e1,238,232,225
